,belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,house_cnt,mall_cnt
belonging,1.0,-0.22556227415372085,-0.24468167708326993,-0.06791114770414602,0.06058045137689159,0.3711277589104977,0.42014365426470474,-0.30629770423954844,-0.33276981660022736,-0.32327894417801856,0.02478904057659368,-0.2461721337644903,-0.3791127604507067,-0.32839952807757516,0.05107729709382291,0.1352900092771561,-0.33905448801910504,0.15702969629976096,0.311414690572476,0.37494542869871544,-0.33229953865703105,0.40185504910176545,-0.16538453103896836,0.1613407719509394,0.17973794244943023,0.24196143111365856,-0.09253837971791283,0.039219374647347316,-0.023547737706587107
Lng,-0.22556227415372085,1.0,0.03416886577718082,-0.04175444362487302,-0.15376614252981605,-0.07292247412590888,-0.10222742793041653,0.11637909057038039,0.08485916775412128,0.2569279679095618,0.2942986763970553,0.20013718305608744,-0.04688050863294887,0.01865848996138274,-0.20609464452593687,0.033471901078944793,0.033253653997971144,0.06972968791670976,0.1060466465748473,-0.03853616224021122,0.1850739376605846,-0.028200954487210984,-0.3786377579908738,-0.09801020271623725,0.06966882770717962,-0.05070889927856644,0.20064272257021798,0.12314956928298534,0.06134286416991943
Lat,-0.24468167708326993,0.03416886577718082,1.0,-0.1715799573893711,0.06441757740604023,-0.07897821401388588,-0.12094958536241886,0.0892062311953626,0.13835459088092467,0.12365205663520225,-0.006027691001577237,0.16290324429674602,0.24107837570357968,0.007353138979374832,0.009448944983655205,-0.2983503115361295,0.08294288079380997,-0.14984040516004493,0.025629715019533553,-0.2431330795692624,0.3344153066173802,-0.11290082466596602,0.1334155178571865,0.10242947449462747,-0.20117022355537384,-0.31716406877810793,0.02432105625554596,0.022144383199251653,-0.10041982612946697
Cid,-0.06791114770414602,-0.04175444362487302,-0.1715799573893711,1.0,-0.01308735344112581,-0.020716894605835767,-0.040759062771361085,0.027752253312715854,0.17691723482026234,0.04998885129215413,0.02248588186939427,0.04097177780833649,0.09631519092523588,0.15218531583995096,-0.059632039357310394,0.11021430193249578,0.13416853157361125,0.12300271979541277,-0.20364341321731966,0.09384046980563741,-0.06866977657204063,-0.06584478412265986,0.16332636497067565,0.024829427604219516,0.045878317763588784,0.2550515382384808,-0.04250550573815078,-0.046711827819005576,-0.05156543674181308
followers,0.06058045137689159,-0.15376614252981605,0.06441757740604023,-0.01308735344112581,1.0,-0.08795879370324428,0.06872267178343046,-0.17927360123796957,-0.28215477450734694,-0.10427395567646063,0.06274271297314932,-0.08133530559780706,0.25895022212850105,0.018277157306371646,0.533680059181449,-0.09711433162529703,-0.054529429830589976,-0.1747069247550978,-0.3039439814120951,-0.1712040753647809,-0.28703715135391283,-0.046843752119083315,0.5821887654854488,0.011574719744817708,0.41825321496881335,-0.1877793610099331,0.3967711671399148,-0.1519988574459531,-0.11507875611381267
totalPrice,0.3711277589104977,-0.07292247412590888,-0.07897821401388588,-0.020716894605835767,-0.08795879370324428,1.0,0.8142856951990481,0.03881525407736174,0.005020578321391047,-0.04395135020345774,0.09389815742493023,0.08442648547282572,-0.3159359890721489,-0.22673884628916582,0.05077171075232443,0.19992299458594268,-0.21337191114566895,0.23808544366190645,0.19753547746347747,0.48842791664235347,-0.0463216581936786,0.7849231994287047,-0.1495472374286427,0.06716209487288628,0.22514786240568088,0.2028548681140504,-0.1374010957045931,-0.008765366628995009,0.025478308979401117
price,0.42014365426470474,-0.10222742793041653,-0.12094958536241886,-0.040759062771361085,0.06872267178343046,0.8142856951990481,1.0,-0.502230026515712,-0.3386695276424709,-0.46245790172909224,0.11129238152805078,-0.3792057494918423,-0.2792770114753365,-0.5991384968840514,0.017221718446696493,-0.07770169572078385,-0.4504114288067431,-0.006763047745686113,0.3587964861591325,0.6011524925930435,-0.11656214735712475,0.9750162314897362,-0.19231155133096928,0.14538489345428723,0.285006921641392,0.032724854916706896,-0.012812245536668838,-0.04620203949278048,0.008759884012590168
square,-0.30629770423954844,0.11637909057038039,0.0892062311953626,0.027752253312715854,-0.17927360123796957,0.03881525407736174,-0.502230026515712,1.0,0.7015730173181749,0.8190440109041115,-0.07554758985313552,0.8738297163165827,0.09869887506271563,0.6901692432509356,0.051009214422592056,0.3578558356997671,0.4776855652865042,0.27606791263773744,-0.40520151809322524,-0.3716474516498037,0.15294268265218075,-0.49576177884508243,0.1191347515590224,-0.1840970052776996,-0.13241135217344716,0.12197464296312492,-0.07316767811065042,0.030694751269035925,-0.012853659596112274
livingRoom,-0.33276981660022736,0.08485916775412128,0.13835459088092467,0.17691723482026234,-0.28215477450734694,0.005020578321391047,-0.3386695276424709,0.7015730173181749,1.0,0.6624144696940671,-0.046839540610536974,0.6383866794420238,0.3582265128326765,0.3508104511205973,-0.2361058080462237,0.09546963383085968,0.4655176158258361,0.0030764137166898165,-0.31201138986329346,-0.31701257597777666,0.22482770453522996,-0.3361782852918367,0.08933271846610112,-0.08744195198272092,-0.21402154766936257,-0.13732932320614355,-0.06474226773099558,-0.10378633455759818,-0.13700431975454472
drawingRoom,-0.32327894417801856,0.2569279679095618,0.12365205663520225,0.04998885129215413,-0.10427395567646063,-0.04395135020345774,-0.46245790172909224,0.8190440109041115,0.6624144696940671,1.0,0.0284569060541847,0.8101849150859346,0.22365117535840534,0.5922085348774672,-0.04660675912278274,0.24772778855587146,0.5056468162347553,0.21833903898231538,-0.3555961278790315,-0.36817231129496797,0.18242683206786262,-0.4315159300662764,0.005474385921805628,-0.12351306541423228,-0.13809526695902852,0.020976102006008326,0.01669155058551469,0.028553407113694203,-0.0534459207161076
kitchen,0.02478904057659368,0.2942986763970553,-0.006027691001577237,0.02248588186939427,0.06274271297314932,0.09389815742493023,0.11129238152805078,-0.07554758985313552,-0.046839540610536974,0.0284569060541847,1.0,-0.02355256624963818,-0.1768834446981656,-0.11665038389316595,-0.32746509875318824,0.052942669536757324,-0.0928052574228303,0.11707640323099214,0.2307092855606154,0.12750852107369412,-0.14447555926499664,0.13211504713252653,0.03284375084965352,0.005304983004899955,0.008228757581954358,0.020727881746697648,0.020255916453613437,0.08532467824422085,0.04795324302224147
bathRoom,-0.2461721337644903,0.20013718305608744,0.16290324429674602,0.04097177780833649,-0.08133530559780706,0.08442648547282572,-0.3792057494918423,0.8738297163165827,0.6383866794420238,0.8101849150859346,-0.02355256624963818,1.0,0.06018913576124199,0.5881923484471415,0.05291227864921064,0.36750306742884276,0.29535228103186345,0.30021500215947133,-0.41479144539728285,-0.26618989487709105,0.13924538654394725,-0.37164733015955664,0.08567616683648514,-0.09620004728110633,-0.09813209429068356,0.1018807915279255,2.205289337099445e-05,-0.02090678118418515,-0.05916383959130815
buildingType,-0.3791127604507067,-0.04688050863294887,0.24107837570357968,0.09631519092523588,0.25895022212850105,-0.3159359890721489,-0.2792770114753365,0.09869887506271563,0.3582265128326765,0.22365117535840534,-0.1768834446981656,0.06018913576124199,1.0,0.2155899379463052,0.07249937891700976,-0.37100440418429215,0.5031595565749949,-0.5143613777525343,-0.3575421524667555,-0.4590910210455924,0.12326604382915837,-0.3245523923315141,0.3818410465144618,0.043313634501647005,-0.01465116597149511,-0.6400144915639726,0.16859190055628856,-0.25217822115482036,-0.14564073450778645
constructionTime,-0.32839952807757516,0.01865848996138274,0.007353138979374832,0.15218531583995096,0.018277157306371646,-0.22673884628916582,-0.5991384968840514,0.6901692432509356,0.3508104511205973,0.5922085348774672,-0.11665038389316595,0.5881923484471415,0.2155899379463052,1.0,0.22055722845197695,0.5676022472900382,0.45618064309647754,0.36215791457396596,-0.7234724324422646,-0.4871458218328263,0.043609623769067095,-0.6304647836947135,0.39826368572028586,-0.1938415938465622,-0.013764360748744086,0.2487040769201059,-0.04752527686438724,-0.03267265632020128,0.019184785508736223
renovationCondition,0.05107729709382291,-0.20609464452593687,0.009448944983655205,-0.059632039357310394,0.533680059181449,0.05077171075232443,0.017221718446696493,0.051009214422592056,-0.2361058080462237,-0.04660675912278274,-0.32746509875318824,0.05291227864921064,0.07249937891700976,0.22055722845197695,1.0,0.1656330870537897,-0.09398684228031211,0.06847537513476999,-0.30830103934580566,-0.153201689868263,-0.1559722311098005,-0.09492437015568121,0.42769209873041286,-0.09757629124292236,0.49410405347593117,0.09948685361367567,0.24944641109935373,-0.06162757340271598,-0.0033058528919141022
buildingStructure,0.1352900092771561,0.033471901078944793,-0.2983503115361295,0.11021430193249578,-0.09711433162529703,0.19992299458594268,-0.07770169572078385,0.3578558356997671,0.09546963383085968,0.24772778855587146,0.052942669536757324,0.36750306742884276,-0.37100440418429215,0.5676022472900382,0.1656330870537897,1.0,-0.03509022089189074,0.7679674543284644,-0.4182859136010068,0.07755734079967484,-0.16174700469648423,-0.11700438320307492,0.1800120683573447,-0.181253014276669,0.05074349665387103,0.6388431144299506,-0.10417962493431267,-0.008172986956579042,0.09270280474982903
ladderRatio,-0.33905448801910504,0.033253653997971144,0.08294288079380997,0.13416853157361125,-0.054529429830589976,-0.21337191114566895,-0.4504114288067431,0.4776855652865042,0.4655176158258361,0.5056468162347553,-0.0928052574228303,0.29535228103186345,0.5031595565749949,0.45618064309647754,-0.09398684228031211,-0.03509022089189074,1.0,-0.09604198690711169,-0.2921180886263908,-0.3721001527438158,0.06302974161314731,-0.4448644706255557,0.1769204347489914,-0.09708696928208813,-0.22675491755489952,-0.07882286571943858,-0.05244437794231112,-0.022540969102689726,-0.0035478162876622556
elevator,0.15702969629976096,0.06972968791670976,-0.14984040516004493,0.12300271979541277,-0.1747069247550978,0.23808544366190645,-0.006763047745686113,0.27606791263773744,0.0030764137166898165,0.21833903898231538,0.11707640323099214,0.30021500215947133,-0.5143613777525343,0.36215791457396596,0.06847537513476999,0.7679674543284644,-0.09604198690711169,1.0,-0.19177224796968215,0.15744508119635733,-0.012709255865618298,0.017750517747883103,-0.08944030174322974,0.004584893538690569,-0.06909373369439167,0.7228825037422891,-0.1652636974066372,0.12860321334649197,0.12291594910789515
fiveYearsProperty,0.311414690572476,0.1060466465748473,0.025629715019533553,-0.20364341321731966,-0.3039439814120951,0.19753547746347747,0.3587964861591325,-0.40520151809322524,-0.31201138986329346,-0.3555961278790315,0.2307092855606154,-0.41479144539728285,-0.3575421524667555,-0.7234724324422646,-0.30830103934580566,-0.4182859136010068,-0.2921180886263908,-0.19177224796968215,1.0,0.47872967743641764,-0.0824482398471825,0.44002033638229004,-0.5578112011467056,0.1326899897839602,-0.2190529473520166,-0.12489156955076652,-0.1406998325396741,0.2271263552454859,0.10474432976137085
subway,0.37494542869871544,-0.03853616224021122,-0.2431330795692624,0.09384046980563741,-0.1712040753647809,0.48842791664235347,0.6011524925930435,-0.3716474516498037,-0.31701257597777666,-0.36817231129496797,0.12750852107369412,-0.26618989487709105,-0.4590910210455924,-0.4871458218328263,-0.153201689868263,0.07755734079967484,-0.3721001527438158,0.15744508119635733,0.47872967743641764,1.0,-0.2904752510754362,0.6089132565759152,-0.28687278677870703,0.25586896953744026,-0.07188747499499962,0.2923063081547965,-0.19847277423170018,0.13780417829168312,0.1607685888746269
district,-0.33229953865703105,0.1850739376605846,0.3344153066173802,-0.06866977657204063,-0.28703715135391283,-0.0463216581936786,-0.11656214735712475,0.15294268265218075,0.22482770453522996,0.18242683206786262,-0.14447555926499664,0.13924538654394725,0.12326604382915837,0.043609623769067095,-0.1559722311098005,-0.16174700469648423,0.06302974161314731,-0.012709255865618298,-0.0824482398471825,-0.2904752510754362,1.0,-0.07424442805414959,-0.1903621396676776,-0.09162287760795705,-0.07873329251458352,-0.09201662252117843,0.09670544213057254,0.009472096469273661,-0.0753235478352032
communityAverage,0.40185504910176545,-0.028200954487210984,-0.11290082466596602,-0.06584478412265986,-0.046843752119083315,0.7849231994287047,0.9750162314897362,-0.49576177884508243,-0.3361782852918367,-0.4315159300662764,0.13211504713252653,-0.37164733015955664,-0.3245523923315141,-0.6304647836947135,-0.09492437015568121,-0.11700438320307492,-0.4448644706255557,0.017750517747883103,0.44002033638229004,0.6089132565759152,-0.07424442805414959,1.0,-0.3604075674758012,0.16153287807806693,0.20500564091892112,0.01785746255133201,-0.06457518610246182,-0.0034259008473872003,0.01676467340662159
year,-0.16538453103896836,-0.3786377579908738,0.1334155178571865,0.16332636497067565,0.5821887654854488,-0.1495472374286427,-0.19231155133096928,0.1191347515590224,0.08933271846610112,0.005474385921805628,0.03284375084965352,0.08567616683648514,0.3818410465144618,0.39826368572028586,0.42769209873041286,0.1800120683573447,0.1769204347489914,-0.08944030174322974,-0.5578112011467056,-0.28687278677870703,-0.1903621396676776,-0.3604075674758012,1.0,-0.034618130739468796,0.09504259876442443,-0.05261056155894308,0.09991141384695953,-0.2803511082622064,-0.10857335874710901
month,0.1613407719509394,-0.09801020271623725,0.10242947449462747,0.024829427604219516,0.011574719744817708,0.06716209487288628,0.14538489345428723,-0.1840970052776996,-0.08744195198272092,-0.12351306541423228,0.005304983004899955,-0.09620004728110633,0.043313634501647005,-0.1938415938465622,-0.09757629124292236,-0.181253014276669,-0.09708696928208813,0.004584893538690569,0.1326899897839602,0.25586896953744026,-0.09162287760795705,0.16153287807806693,-0.034618130739468796,1.0,-0.1768872745413864,0.010003307425884105,-0.47774853881458734,0.05933940097485499,-0.011786422172023282
day,0.17973794244943023,0.06966882770717962,-0.20117022355537384,0.045878317763588784,0.41825321496881335,0.22514786240568088,0.285006921641392,-0.13241135217344716,-0.21402154766936257,-0.13809526695902852,0.008228757581954358,-0.09813209429068356,-0.01465116597149511,-0.013764360748744086,0.49410405347593117,0.05074349665387103,-0.22675491755489952,-0.06909373369439167,-0.2190529473520166,-0.07188747499499962,-0.07873329251458352,0.20500564091892112,0.09504259876442443,-0.1768872745413864,1.0,0.10214638847536035,0.3671403156522175,-0.009233620354437245,-0.00564021658921346
floor_num,0.24196143111365856,-0.05070889927856644,-0.31716406877810793,0.2550515382384808,-0.1877793610099331,0.2028548681140504,0.032724854916706896,0.12197464296312492,-0.13732932320614355,0.020976102006008326,0.020727881746697648,0.1018807915279255,-0.6400144915639726,0.2487040769201059,0.09948685361367567,0.6388431144299506,-0.07882286571943858,0.7228825037422891,-0.12489156955076652,0.2923063081547965,-0.09201662252117843,0.01785746255133201,-0.05261056155894308,0.010003307425884105,0.10214638847536035,1.0,-0.2299962839154221,0.23261280271291623,0.15185666992241847
relativeHeight,-0.09253837971791283,0.20064272257021798,0.02432105625554596,-0.04250550573815078,0.3967711671399148,-0.1374010957045931,-0.012812245536668838,-0.07316767811065042,-0.06474226773099558,0.01669155058551469,0.020255916453613437,2.205289337099445e-05,0.16859190055628856,-0.04752527686438724,0.24944641109935373,-0.10417962493431267,-0.05244437794231112,-0.1652636974066372,-0.1406998325396741,-0.19847277423170018,0.09670544213057254,-0.06457518610246182,0.09991141384695953,-0.47774853881458734,0.3671403156522175,-0.2299962839154221,1.0,-0.059465234469626455,-0.047734559717916916
house_cnt,0.039219374647347316,0.12314956928298534,0.022144383199251653,-0.046711827819005576,-0.1519988574459531,-0.008765366628995009,-0.04620203949278048,0.030694751269035925,-0.10378633455759818,0.028553407113694203,0.08532467824422085,-0.02090678118418515,-0.25217822115482036,-0.03267265632020128,-0.06162757340271598,-0.008172986956579042,-0.022540969102689726,0.12860321334649197,0.2271263552454859,0.13780417829168312,0.009472096469273661,-0.0034259008473872003,-0.2803511082622064,0.05933940097485499,-0.009233620354437245,0.23261280271291623,-0.059465234469626455,1.0,0.502393662900582
mall_cnt,-0.023547737706587107,0.06134286416991943,-0.10041982612946697,-0.05156543674181308,-0.11507875611381267,0.025478308979401117,0.008759884012590168,-0.012853659596112274,-0.13700431975454472,-0.0534459207161076,0.04795324302224147,-0.05916383959130815,-0.14564073450778645,0.019184785508736223,-0.0033058528919141022,0.09270280474982903,-0.0035478162876622556,0.12291594910789515,0.10474432976137085,0.1607685888746269,-0.0753235478352032,0.01676467340662159,-0.10857335874710901,-0.011786422172023282,-0.00564021658921346,0.15185666992241847,-0.047734559717916916,0.502393662900582,1.0
