,alphas,coe1,coe2,coe3,coe4
0,0.0001,0.1943805036664735,0.055370311771543744,2.0457910790300793,0.024422813285439847
1,0.00014563484775012445,0.1943804283879745,0.05537059553860949,2.045790312682182,0.024422716758679866
2,0.00021209508879201905,0.19438031875639727,0.05537100880096175,2.045789196613795,0.02442257618300785
3,0.00030888435964774815,0.1943801590949353,0.05537161065203007,2.0457875712318567,0.024422371457809008
4,0.0004498432668969444,0.1943799265728838,0.055372487150704384,2.0457852041147704,0.02442207331074946
5,0.0006551285568595509,0.19437958794118104,0.055373763625037146,2.0457817567789123,0.024421639113581594
6,0.0009540954763499944,0.1943790947784555,0.05537562258854082,2.0457767362809878,0.024421006789964485
7,0.0013894954943731374,0.19437837656811657,0.05537832982793686,2.045769424738237,0.024420085946229533
8,0.0020235896477251557,0.19437733061725368,0.055382272386199236,2.0457587766938596,0.024418744961273175
9,0.0029470517025518097,0.19437580737730073,0.055388013858311685,2.0457432696634634,0.024416792198901523
10,0.004291934260128779,0.1943735890706053,0.05539637487705887,2.0457206865171407,0.024413948676066582
11,0.0062505519252739694,0.1943703585734361,0.055408550234888415,2.0456877986336126,0.024409808321062678
12,0.009102981779915217,0.19436565412036186,0.05542627925593875,2.0456399046354705,0.02440378022867443
13,0.013257113655901081,0.19435880338376238,0.055452093496956234,2.0455701589941984,0.024395004845524818
14,0.019306977288832496,0.19434882756752478,0.05548967659593207,2.0454685950237277,0.024382232504080555
15,0.02811768697974228,0.19433430193937684,0.055544386451665734,2.045320703668843,0.024363647790555942
16,0.040949150623804234,0.19431315315226133,0.055624011708393394,2.045105367222651,0.02433661643893907
17,0.05963623316594643,0.19428236499418408,0.05573986502194337,2.0447918575053645,0.024297322374136864
18,0.08685113737513521,0.19423755180422955,0.055908357414851555,2.0443354798429185,0.024240251046507323
19,0.12648552168552957,0.19417234132917238,0.05615325352598554,2.043671262332681,0.024157462082281995
20,0.18420699693267145,0.1940774846144091,0.05650887710762506,2.0427048352251025,0.024037582623659307
21,0.2682695795279725,0.1939395779125571,0.05702461416903001,2.0412992956882334,0.02386445100566357
22,0.3906939937054613,0.19373923947486427,0.05777112758992016,2.03925638847404,0.023615368517310362
23,0.5689866029018293,0.19344853369450032,0.058848699703543145,2.036289747604773,0.023259017756336844
24,0.8286427728546842,0.19302738353740184,0.06039794178182463,2.031987277795773,0.022753364810125
25,1.2067926406393288,0.19241867959212877,0.06261251775047841,2.02575915565618,0.022044434098575826
26,1.7575106248547894,0.19154182553164217,0.065752105861024,2.0167677810638507,0.021067972780640567
27,2.559547922699533,0.19028464295155934,0.0701509381648471,2.003837136407113,0.01975798563810975
28,3.727593720314938,0.18849403971059236,0.07621227079199597,1.9853430031206325,0.018068936351066434
29,5.428675439323859,0.18596682147796598,0.08437221466116113,1.9590950010798305,0.016020938537201657
30,7.9060432109076855,0.18244366252637367,0.0950104295510965,1.9222401116249999,0.013775444870537907
31,11.513953993264458,0.17761148835987736,0.10828860420941659,1.8712484396369602,0.011734154634539558
32,16.768329368110066,0.1711218075437093,0.12392358592971951,1.8020837220752655,0.010616206910469229
33,24.420530945486497,0.16263365741036265,0.14095660328391718,1.710696972428151,0.011414184646484953
34,35.564803062231285,0.15188777016363145,0.15763945989680306,1.5939655558467378,0.01510833992785896
35,51.79474679231202,0.13880971256314337,0.17156722764845597,1.4510516567166483,0.02212057607495716
36,75.43120063354607,0.12361948113725252,0.18011212712387148,1.2848159284551837,0.03174144855827875
37,109.85411419875572,0.10689681162308942,0.18109354957109058,1.1025242567722344,0.04198569995301847
38,159.98587196060572,0.08954086638346515,0.17350072986083673,0.9150569467646417,0.050205353198498656
39,232.99518105153672,0.07260295686089231,0.15797171958166198,0.7345419532844939,0.054237760238726423
40,339.3221771895323,0.05704931177389074,0.13671586072689035,0.5714056338109609,0.05334812621292394
41,494.1713361323828,0.04355993444430563,0.11281453204843793,0.43225544312565367,0.048341593331146404
42,719.6856730011514,0.03244296917324941,0.0892456887817224,0.31936190154175564,0.040904995114924306
43,1048.1131341546852,0.02367143955886207,0.06814644073472387,0.23149355945404337,0.032762861499119465
44,1526.4179671752302,0.016992342842794578,0.05058364410132418,0.16532828808267028,0.025149893418554097
45,2222.996482526191,0.012046769819137718,0.036738893731786466,0.11675986099846612,0.01869976337616748
46,3237.45754281764,0.008461858922597376,0.026253921760450858,0.08178317125460237,0.013582466493342653
47,4714.8663634573895,0.005903864417923528,0.018540782662030367,0.05694477901862255,0.009700843590230188
48,6866.488450042998,0.004099352364349357,0.012983321194447464,0.03948283312424292,0.006846184369875654
49,10000.0,0.0028367168595333477,0.009037412075473471,0.027294210278098814,0.004791126695935288
