percentage_range,buildingType_towel
0.0%~2.0%,0.0
2.0%~4.0%,0.0
4.0%~6.0%,0.0894736842105263
6.0%~8.0%,0.03776094276094274
8.0%~10.0%,0.051514916649209784
10.0%~12.0%,0.07054270116492961
12.0%~14.0%,0.0
14.0%~16.0%,0.029223640114607315
16.0%~18.0%,0.062284218105656486
18.0%~20.0%,0.16278020682795394
20.0%~22.0%,0.1652370953149047
22.0%~24.0%,0.2684417531180006
24.0%~26.0%,0.2783479643993723
26.0%~28.0%,0.4849809559696122
28.0%~30.0%,0.43876203426862104
30.0%~32.0%,0.28196945836870096
32.0%~34.0%,0.22573948762469356
34.0%~36.0%,0.3924912213394536
36.0%~38.0%,0.22224697379110794
38.0%~40.0%,0.321945218488913
40.0%~42.0%,0.314655497630941
42.0%~44.0%,0.42475078552669904
44.0%~46.0%,0.42052091322045904
46.0%~48.0%,0.2715289982425307
48.0%~50.0%,0.2406745374443078
50.0%~52.0%,0.25133634264283244
52.0%~54.0%,0.3517705844257623
54.0%~56.0%,0.2643733040433184
56.0%~58.0%,0.21011430430236994
58.0%~60.0%,0.2788591433377243
60.0%~62.0%,0.34932871577974106
62.0%~64.0%,0.5179530444644982
64.0%~66.0%,0.2787863784691014
66.0%~68.0%,0.3154406891981444
68.0%~70.0%,0.0
70.0%~72.0%,0.2619603161999029
72.0%~74.0%,0.097534833869239
74.0%~76.0%,0.12239746436637627
76.0%~78.0%,0.0536801925151439
78.0%~80.0%,0.3450292397660818
80.0%~82.0%,0.0
84.0%~86.0%,0.0488997555012225
86.0%~88.0%,0.1875
88.0%~90.0%,0.2926829268292683
98.0%~100.0%,0.0159680638722554
